CardNumber,Department,postDate,transDate,Time,Merchant,DriverID,Units,UnitCost,fuelCost,nonFuelCost,GrossCost,netCost
0273 - 1,MMEJACKS,11/2/2021,10/29/2021,1:05:47 PM,GATE,145531,23.762,$3.27 ,$77.68 ,$0.00 ,$77.68 ,$77.68 
0303 - 1,MSPCORIN,11/2/2021,10/29/2021,10:30:18 AM,MARATHON,159908,22.02,$3.10 ,$68.24 ,$0.00 ,$68.24 ,$68.24 
0304 - 1,MSPNEWAL,11/2/2021,10/29/2021,5:05:16 PM,LOVES,150948,21.432,$3.02 ,$64.70 ,$0.00 ,$64.70 ,$64.70 
0310 - 1,CPOSENAT,11/2/2021,10/29/2021,10:03:38 AM,UNBRANDED,165491,14.101,$3.20 ,$45.11 ,$0.00 ,$45.11 ,$45.11 
0312 - 1,CPOSENAT,11/2/2021,10/29/2021,8:39:20 AM,KUM & GO,162329,13.337,$3.00 ,$40.00 ,$0.00 ,$40.00 ,$40.00 
0312 - 1,CPOSENAT,11/2/2021,10/29/2021,6:39:58 PM,KUM & GO,162329,13.338,$3.00 ,$40.00 ,$0.00 ,$40.00 ,$40.00 
0313 - 1,CPOSENAT,11/2/2021,10/29/2021,4:04:57 PM,UNBRANDED,163381,13.996,$3.20 ,$44.77 ,$0.00 ,$44.77 ,$44.77 
0315 - 1,CPOSENAT,11/2/2021,10/29/2021,8:58:47 AM,UNBRANDED,162966,16.154,$3.22 ,$52.00 ,$0.00 ,$52.00 ,$52.00 
0331 - 1,THCMCCOM,11/2/2021,10/29/2021,9:54:00 AM,EXXONMOB,172831,17.13,$3.20 ,$54.80 ,$0.00 ,$54.80 ,$54.80 
0176 - 2,BB,11/2/2021,10/29/2021,3:16:00 PM,SUNOCO,302266,9.393,$3.46 ,$32.49 ,$0.00 ,$32.49 ,$32.49 
0218 - 1,UNASSIGNED,11/2/2021,10/29/2021,2:11:00 PM,SHELL,129130,20.73,$3.45 ,$71.52 ,$0.00 ,$71.52 ,$71.52 
0220 - 1,UNASSIGNED,11/2/2021,10/29/2021,5:02:00 PM,SHELL,308828,13.85,$3.40 ,$47.09 ,$0.00 ,$47.09 ,$47.09 
0277 - 1,UNASSIGNED,11/2/2021,10/29/2021,1:45:00 PM,MURPHY USA,504657,11.741,$2.97 ,$34.86 ,$0.00 ,$34.86 ,$34.86 
0298 - 1,UNASSIGNED,11/2/2021,10/29/2021,9:52:00 AM,SPINX,209782,16.73,$3.20 ,$53.52 ,$9.00 ,$62.52 ,$53.52 
0178 - 1,CM,11/2/2021,10/29/2021,9:33:00 AM,BRANDED,7112,11.459,$3.20 ,$36.66 ,$0.00 ,$36.66 ,$36.66 
0184 - 1,CM,11/2/2021,10/29/2021,9:36:10 AM,QUIKTRIP,7362,4.214,$3.20 ,$13.48 ,$0.00 ,$13.48 ,$13.48 
0250 - 1,CM,11/2/2021,10/29/2021,9:00:15 AM,CIRCLE K,805334,12.363,$3.36 ,$41.53 ,$0.00 ,$41.53 ,$41.53 
0251 - 1,CM,11/2/2021,10/29/2021,10:09:09 AM,MARATHON,9485,17.401,$3.24 ,$56.36 ,$0.00 ,$56.36 ,$56.36 
0161 - 1,WHH,11/2/2021,10/29/2021,12:52:00 PM,BP,603252,21.544,$3.30 ,$71.07 ,$0.00 ,$71.07 ,$71.07 
0011 - 1,BBPORT,11/2/2021,10/29/2021,5:37:25 PM,CIRCLE K,304274,9.052,$3.39 ,$30.68 ,$0.00 ,$30.68 ,$30.68 
0192 - 2,RMDUNCAN,11/2/2021,10/29/2021,12:24:00 PM,UNBRANDED,203290,20.119,$3.20 ,$64.36 ,$0.00 ,$64.36 ,$64.36 
0194 - 1,RMDUNCAN,11/2/2021,10/29/2021,1:28:00 PM,UNBRANDED,203773,21.265,$3.20 ,$68.03 ,$0.00 ,$68.03 ,$68.03 
0263 - 1,RMDUNCAN,11/2/2021,10/29/2021,10:19:28 AM,QUIKTRIP,203632,16.678,$3.18 ,$53.02 ,$0.00 ,$53.02 ,$53.02 
0018 - 2,CMSAV,11/2/2021,10/29/2021,1:37:00 PM,BP,203920,7.768,$3.35 ,$26.02 ,$0.00 ,$26.02 ,$26.02 
0294 - 1,CMSAV,11/2/2021,10/29/2021,12:39:00 PM,ENMARK,204558,22.564,$3.30 ,$74.44 ,$0.00 ,$74.44 ,$74.44 
0026 - 8,CMCP,11/2/2021,10/29/2021,12:30:00 PM,SHELL,147034,8.76,$3.30 ,$28.90 ,$0.00 ,$28.90 ,$28.90 
0183 - 2,CMGAINS,11/2/2021,10/29/2021,5:10:08 PM,CHVRNWF,7679,21.752,$3.40 ,$73.94 ,$0.00 ,$73.94 ,$73.94 
0262 - 1,CMGAINS,11/2/2021,10/29/2021,2:01:00 PM,UNBRANDED,7381,14.71,$3.40 ,$50.00 ,$0.00 ,$50.00 ,$50.00 
0035 - 1,CMATHENS,11/2/2021,10/29/2021,7:35:00 PM,RACETRAC,8121,8.821,$3.20 ,$28.22 ,$0.00 ,$28.22 ,$28.22 
0254 - 1,CMATHENS,11/2/2021,10/29/2021,10:51:00 AM,SHELL,6411,22.65,$3.28 ,$74.29 ,$0.00 ,$74.29 ,$74.29 
0260 - 1,CMATHENS,11/2/2021,10/29/2021,3:01:58 PM,MARATHON,8239,12.428,$3.24 ,$40.25 ,$0.00 ,$40.25 ,$40.25 
0297 - 1,CMATHENS,11/2/2021,10/29/2021,4:39:11 PM,LOVES,8581,22.211,$3.20 ,$71.05 ,$0.00 ,$71.05 ,$71.05 
0059 - 1,LOPADU,11/2/2021,10/29/2021,3:46:00 PM,BP,406635,12.896,$3.18 ,$41.00 ,$0.00 ,$41.00 ,$41.00 
0129 - 1,LOPADU,11/2/2021,10/29/2021,9:43:00 AM,HUCKS,403464,16.276,$3.20 ,$52.07 ,$0.00 ,$52.07 ,$52.07 
0130 - 1,LOPADU,11/2/2021,10/29/2021,10:32:26 AM,MARATHON,406005,18.135,$3.20 ,$58.01 ,$0.00 ,$58.01 ,$58.01 
0258 - 2,LOPADU,11/2/2021,10/29/2021,7:28:00 AM,MURPHY USA,403215,8.447,$3.08 ,$26.01 ,$0.00 ,$26.01 ,$26.01 
0264 - 1,LOPADU,11/2/2021,10/29/2021,5:21:43 PM,UNBRANDED,402539,6.192,$3.15 ,$19.50 ,$0.00 ,$19.50 ,$19.50 
0290 - 1,LOPADU,11/2/2021,10/29/2021,9:13:00 PM,HUCKS,403213,14.514,$3.10 ,$44.98 ,$0.00 ,$44.98 ,$44.98 
0049 - 2,LOMURR,11/2/2021,10/29/2021,7:20:51 AM,MARATHON,406152,8.504,$3.20 ,$27.20 ,$0.00 ,$27.20 ,$27.20 
0062 - 1,PAWILDER,11/2/2021,10/29/2021,1:34:08 PM,UNBRANDED,501114,18.563,$2.90 ,$53.81 ,$0.00 ,$53.81 ,$53.81 
0095 - 1,PAWILDER,11/2/2021,10/29/2021,3:42:47 PM,SPEEDWAY,508048,14.775,$3.16 ,$46.67 ,$0.00 ,$46.67 ,$46.67 
0164 - 1,PAWILDER,11/2/2021,10/29/2021,6:10:58 PM,UNBRANDED,502143,23.843,$2.90 ,$69.12 ,$0.00 ,$69.12 ,$69.12 
0069 - 1,PAINDY,11/2/2021,10/29/2021,1:00:14 PM,MARATHON,501580,20.758,$3.08 ,$63.91 ,$0.00 ,$63.91 ,$63.91 
0168 - 1,PAINDY,11/2/2021,10/29/2021,11:05:22 AM,SPEEDWAY,501627,21.672,$3.09 ,$66.94 ,$0.00 ,$66.94 ,$66.94 
0074 - 1,PALEX,11/2/2021,10/29/2021,4:07:00 PM,BP,507824,41.736,$3.13 ,$130.59 ,$0.00 ,$130.59 ,$130.59 
0214 - 4,PALEX,11/2/2021,10/29/2021,10:15:31 AM,CIRCLE K,501864,12.144,$3.26 ,$39.58 ,$0.00 ,$39.58 ,$39.58 
0256 - 1,RMBEAU,11/2/2021,10/29/2021,11:14:00 AM,UNBRANDED,203964,18.564,$3.65 ,$67.74 ,$0.00 ,$67.74 ,$67.74 
0284 - 1,RMMYRTLE,11/2/2021,10/29/2021,4:17:00 PM,MURPHY USA,201791,21.035,$3.17 ,$66.66 ,$0.00 ,$66.66 ,$66.66 
0193 - 2,RMCHARL,11/2/2021,10/29/2021,10:25:00 AM,SPINX,203757,22.816,$3.20 ,$72.99 ,$0.00 ,$72.99 ,$72.99 
0117 - 1,WHHFARM,11/2/2021,10/29/2021,2:37:00 PM,WAWA,990495,13.274,$3.29 ,$43.66 ,$0.00 ,$43.66 ,$43.66 
0185 - 1,CMTWATER,11/2/2021,10/29/2021,10:04:19 AM,CIRCLE K,801164,22.163,$3.43 ,$76.00 ,$0.00 ,$76.00 ,$76.00 
0079 - 1,RIVERSID,11/2/2021,10/29/2021,10:58:27 AM,SPEEDWAY,108823,11.537,$3.13 ,$36.10 ,$0.00 ,$36.10 ,$36.10 
0150 - 1,RIVERSID,11/2/2021,10/29/2021,11:51:00 AM,SHELL,106861,11.06,$3.06 ,$33.83 ,$0.00 ,$33.83 ,$33.83 
0172 - 1,RIVERSID,11/2/2021,10/29/2021,11:45:57 AM,KROGER,102536,12.164,$3.06 ,$37.21 ,$0.00 ,$37.21 ,$37.21 
0281 - 1,CMATL,11/2/2021,10/28/2021,9:02:55 AM,QUIKTRIP,7679,15.828,$3.19 ,$50.48 ,$0.00 ,$50.48 ,$50.48 
0229 - 1,COOLLOUI,11/2/2021,10/28/2021,1:58:24 PM,UNBRANDED,119344,6.946,$3.17 ,$22.01 ,$0.00 ,$22.01 ,$22.01 
0310 - 1,CPOSENAT,11/2/2021,10/28/2021,8:48:21 AM,UNBRANDED,165491,13.805,$3.22 ,$44.44 ,$0.00 ,$44.44 ,$44.44 
0315 - 1,CPOSENAT,11/2/2021,10/28/2021,8:43:35 AM,UNBRANDED,162966,8.508,$3.22 ,$27.39 ,$0.00 ,$27.39 ,$27.39 
0332 - 1,THCMCCOM,11/2/2021,10/28/2021,8:45:00 AM,EXXONMOB,175688,23.42,$3.20 ,$74.92 ,$0.00 ,$74.92 ,$74.92 
0298 - 1,UNASSIGNED,11/2/2021,10/28/2021,9:27:00 AM,UNBRANDED,209782,18.756,$3.20 ,$60.00 ,$0.00 ,$60.00 ,$60.00 
0190 - 1,PAWILDER,11/2/2021,10/28/2021,10:43:19 AM,UNBRANDED,503946,18.287,$2.94 ,$53.75 ,$0.00 ,$53.75 ,$53.75 
0099 - 1,RMDUNCAN,11/2/2021,10/28/2021,10:22:46 AM,QUIKTRIP,201275,13.933,$3.18 ,$44.29 ,$0.00 ,$44.29 ,$44.29 
0263 - 1,RMDUNCAN,11/2/2021,10/28/2021,1:20:12 PM,QUIKTRIP,203632,16.88,$3.20 ,$54.00 ,$0.00 ,$54.00 ,$54.00 
0264 - 1,LOPADU,11/2/2021,10/28/2021,4:37:05 PM,UNBRANDED,402539,4.766,$3.20 ,$15.25 ,$0.00 ,$15.25 ,$15.25 
0070 - 1,PAWILDER,11/2/2021,10/28/2021,9:40:42 AM,UNBRANDED,502020,11.7,$3.36 ,$39.30 ,$0.00 ,$39.30 ,$39.30 
0175 - 1,PAWILDER,11/2/2021,10/28/2021,4:21:00 PM,UNBRANDED,906,10.407,$3.25 ,$33.81 ,$0.00 ,$33.81 ,$33.81 
0334 - 1,CM,11/2/2021,10/28/2021,8:01:20 AM,QUIKTRIP,702018,21.782,$3.20 ,$69.68 ,$0.00 ,$69.68 ,$69.68 
0176 - 2,BB,11/1/2021,10/28/2021,12:51:14 PM,IRVING,302266,10.614,$3.54 ,$37.57 ,$0.00 ,$37.57 ,$37.57 
0311 - 1,CPOSENAT,11/1/2021,10/28/2021,1:12:00 PM,MURPHY USA,163550,16.115,$3.17 ,$51.07 ,$0.00 ,$51.07 ,$51.07 
0221 - 1,UNASSIGNED,11/1/2021,10/28/2021,9:12:00 PM,UNBRANDED,124466,14.209,$3.45 ,$49.01 ,$0.00 ,$49.01 ,$49.01 
0187 - 1,CM,11/1/2021,10/28/2021,4:54:00 PM,RACEWAY,6426,12.444,$3.20 ,$39.81 ,$0.00 ,$39.81 ,$39.81 
0174 - 2,LO,11/1/2021,10/28/2021,9:55:26 AM,MARATHON,403564,7.908,$3.16 ,$24.98 ,$0.00 ,$24.98 ,$24.98 
0174 - 2,LO,11/1/2021,10/28/2021,3:55:26 PM,MARATHON,403564,5.705,$3.16 ,$18.02 ,$0.00 ,$18.02 ,$18.02 
0296 - 1,PA,11/1/2021,10/28/2021,12:36:00 PM,BP,406635,18.676,$3.16 ,$59.00 ,$0.00 ,$59.00 ,$59.00 
0001 - 1,BBPORT,11/1/2021,10/28/2021,3:28:13 PM,CITGO,309846,14.033,$3.35 ,$47.00 ,$0.00 ,$47.00 ,$47.00 
0246 - 1,RMDUNCAN,11/1/2021,10/28/2021,5:00:00 PM,SPINX,201502,21.173,$3.30 ,$69.85 ,$0.00 ,$69.85 ,$69.85 
0261 - 1,BBGREEN,11/1/2021,10/28/2021,5:48:02 PM,7-ELEVEN,302626,22.021,$3.40 ,$74.85 ,$0.00 ,$74.85 ,$74.85 
0319 - 2,CMSAV,11/1/2021,10/28/2021,5:38:40 PM,KROGER,1677,11.623,$3.20 ,$37.18 ,($0.35),$36.83 ,$37.18 
0237 - 2,CMGAINS,11/1/2021,10/28/2021,12:44:04 PM,CHEVRON,4976,8.619,$3.23 ,$27.83 ,$0.00 ,$27.83 ,$27.83 
0035 - 1,CMATHENS,11/1/2021,10/28/2021,3:21:19 PM,CIRCLE K,8121,9.001,$3.20 ,$28.79 ,$0.00 ,$28.79 ,$28.79 
0040 - 2,CMATHENS,11/1/2021,10/28/2021,7:23:00 AM,BP,3556,11.816,$3.20 ,$37.80 ,$0.00 ,$37.80 ,$37.80 
0181 - 1,CMATHENS,11/1/2021,10/28/2021,11:03:33 AM,CHVRNWF,7088,14.54,$3.59 ,$52.18 ,$0.00 ,$52.18 ,$52.18 
0241 - 1,CMATHENS,11/1/2021,10/28/2021,6:20:49 PM,CHVRNWF,2178,20.446,$3.20 ,$65.41 ,$0.00 ,$65.41 ,$65.41 
0253 - 1,CMATHENS,11/1/2021,10/28/2021,1:49:25 PM,7-ELEVEN,3887,12.22,$3.20 ,$39.09 ,$0.00 ,$39.09 ,$39.09 
0297 - 1,CMATHENS,11/1/2021,10/28/2021,12:29:09 PM,CHEVRON,8581,22.922,$3.26 ,$74.70 ,$0.00 ,$74.70 ,$74.70 
0053 - 1,LOPADU,11/1/2021,10/28/2021,7:32:00 AM,HUCKS,406333,9.387,$3.15 ,$29.56 ,$0.00 ,$29.56 ,$29.56 
0055 - 1,LOPADU,11/1/2021,10/28/2021,4:03:38 PM,MARATHON,408156,11.037,$2.90 ,$32.00 ,$0.00 ,$32.00 ,$32.00 
0290 - 1,LOPADU,11/1/2021,10/28/2021,12:44:52 PM,MARATHON,403213,23.226,$3.15 ,$73.14 ,$0.00 ,$73.14 ,$73.14 
0160 - 1,LOMURR,11/1/2021,10/28/2021,9:54:00 AM,HUCKS,400752,14.654,$3.20 ,$46.88 ,$0.00 ,$46.88 ,$46.88 
0151 - 1,PAWILDER,11/1/2021,10/28/2021,1:04:40 PM,MARATHON,508993,12.538,$3.06 ,$38.35 ,$0.00 ,$38.35 ,$38.35 
0177 - 1,PAWILDER,11/1/2021,10/28/2021,11:43:38 AM,MARATHON,506985,13.72,$3.30 ,$45.26 ,$0.00 ,$45.26 ,$45.26 
0191 - 1,PAWILDER,11/1/2021,10/28/2021,9:50:52 AM,SPEEDWAY,507519,10.718,$2.94 ,$31.50 ,$0.00 ,$31.50 ,$31.50 
0293 - 1,PAWILDER,11/1/2021,10/28/2021,3:18:38 PM,CIRCLE K,504253,17.146,$3.25 ,$55.71 ,$0.00 ,$55.71 ,$55.71 
0168 - 1,PAINDY,11/1/2021,10/28/2021,10:14:44 AM,SPEEDWAY,501627,22.096,$3.36 ,$74.22 ,$0.00 ,$74.22 ,$74.22 
0169 - 1,PAINDY,11/1/2021,10/28/2021,7:36:01 PM,SPEEDWAY,501674,24.2,$3.39 ,$82.01 ,$0.00 ,$82.01 ,$82.01 
0214 - 4,PALEX,11/1/2021,10/28/2021,12:27:00 PM,BP,501864,3.538,$3.22 ,$11.39 ,$0.00 ,$11.39 ,$11.39 
0214 - 4,PALEX,11/1/2021,10/28/2021,12:35:40 PM,CIRCLE K,501864,8.164,$3.19 ,$26.03 ,$0.00 ,$26.03 ,$26.03 
0165 - 1,RMBEAU,11/1/2021,10/28/2021,4:23:00 PM,ENMARK,205315,23.641,$3.25 ,$76.81 ,$0.00 ,$76.81 ,$76.81 
0244 - 1,RMBEAU,11/1/2021,10/28/2021,4:00:36 PM,CIRCLE K,209561,23.342,$3.00 ,$70.00 ,$0.00 ,$70.00 ,$70.00 
0133 - 1,RMMYRTLE,11/1/2021,10/28/2021,12:41:00 PM,SHELL,207523,19.98,$3.12 ,$62.33 ,($1.00),$61.33 ,$62.33 
0102 - 1,RMCHARL,11/1/2021,10/28/2021,11:30:00 AM,SPINX,203435,15.388,$3.18 ,$48.92 ,$10.00 ,$58.92 ,$48.92 
0193 - 2,RMCHARL,11/1/2021,10/28/2021,11:01:00 AM,SHELL,203757,11.56,$3.30 ,$38.15 ,$0.00 ,$38.15 ,$38.15 
0112 - 1,WHHRCHMN,11/1/2021,10/28/2021,5:33:00 PM,EXXONMOB,602259,13.226,$3.16 ,$41.78 ,$0.00 ,$41.78 ,$41.78 
0116 - 1,WHHRCHMN,11/1/2021,10/28/2021,2:45:00 PM,DIAMOND,608591,9.273,$3.40 ,$31.52 ,$0.00 ,$31.52 ,$31.52 
0327 - 1,WHHRCHMN,11/1/2021,10/28/2021,8:13:00 AM,EXXONMOB,605157,12.899,$3.50 ,$45.13 ,$0.00 ,$45.13 ,$45.13 
0117 - 1,WHHFARM,11/1/2021,10/28/2021,10:40:32 AM,SHEETZ,990495,13.583,$3.28 ,$44.54 ,$0.00 ,$44.54 ,$44.54 
0138 - 1,CMTWATER,11/1/2021,10/28/2021,9:30:38 AM,IRVING,801911,18,$3.46 ,$62.26 ,$0.00 ,$62.26 ,$62.26 
0233 - 1,CMTELLS,11/1/2021,10/28/2021,8:19:19 AM,IRVING,802357,17.452,$3.44 ,$60.02 ,$0.00 ,$60.02 ,$60.02 
0149 - 1,RIVERSID,11/1/2021,10/28/2021,11:11:29 AM,KROGER,105861,12.652,$3.06 ,$38.70 ,($3.79),$34.91 ,$38.70 
0289 - 1,RIVERSID,11/1/2021,10/28/2021,2:28:27 PM,KROGER,102838,24.519,$3.06 ,$75.00 ,($0.73),$74.27 ,$75.00 
0325 - 1,RIVERSID,11/1/2021,10/28/2021,7:43:00 AM,MURPHY USA,109718,8.172,$3.06 ,$25.00 ,$0.00 ,$25.00 ,$25.00 
0247 - 1,CMATL,11/1/2021,10/28/2021,7:58:00 AM,SHELL,4059,14.4,$3.56 ,$51.27 ,$0.00 ,$51.27 ,$51.27 
0280 - 1,CMATL,11/1/2021,10/28/2021,12:12:00 PM,EXXONMOB,1445,17.732,$3.16 ,$56.02 ,$0.00 ,$56.02 ,$56.02 
0283 - 1,RMCOLUMB,11/1/2021,10/28/2021,7:10:00 PM,SHELL,206682,22.13,$3.66 ,$81.00 ,$0.00 ,$81.00 ,$81.00 
0227 - 1,COOLPRES,11/1/2021,10/28/2021,8:20:33 AM,MARATHON,113859,20.007,$3.10 ,$62.00 ,$0.00 ,$62.00 ,$62.00 
0223 - 2,COOLPRES,11/1/2021,10/28/2021,12:41:00 PM,SHELL,110467,8.91,$3.16 ,$28.17 ,$0.00 ,$28.17 ,$28.17 
0224 - 2,COOLPRES,11/1/2021,10/28/2021,8:48:00 AM,BP,110360,8.233,$3.10 ,$25.51 ,$0.00 ,$25.51 ,$25.51 
0202 - 1,COOLPIKE,11/1/2021,10/28/2021,9:14:22 AM,MARATHON,115243,12.87,$3.11 ,$40.01 ,$0.00 ,$40.01 ,$40.01 
0204 - 1,COOLHAZA,11/1/2021,10/28/2021,3:12:00 PM,BP,117771,18.538,$3.16 ,$58.56 ,$0.00 ,$58.56 ,$58.56 
0231 - 1,COOLLEXI,11/1/2021,10/28/2021,3:25:00 PM,BP,503672,21.795,$3.13 ,$68.20 ,$0.00 ,$68.20 ,$68.20 
0235 - 2,COOLNORT,11/1/2021,10/28/2021,7:46:03 AM,MARATHON,113038,9.571,$2.90 ,$27.75 ,$0.00 ,$27.75 ,$27.75 
0276 - 2,CMFAYETT,11/1/2021,10/28/2021,1:32:13 PM,CIRCLE K,3329,8.602,$3.20 ,$27.52 ,$0.00 ,$27.52 ,$27.52 
0252 - 1,LOMADISO,11/1/2021,10/28/2021,4:11:19 PM,MARATHON,405293,10.487,$3.10 ,$32.50 ,$0.00 ,$32.50 ,$32.50 
0266 - 2,MMEJACKS,11/1/2021,10/28/2021,9:27:33 AM,7-ELEVEN,143795,9.593,$3.30 ,$31.65 ,$0.00 ,$31.65 ,$31.65 
0267 - 1,MMEJACKS,11/1/2021,10/28/2021,3:36:00 PM,EXXONMOB,147657,19.869,$3.30 ,$65.55 ,$0.00 ,$65.55 ,$65.55 
0268 - 1,MMEJACKS,11/1/2021,10/28/2021,12:05:38 PM,CIRCLE K,147034,11.967,$3.28 ,$39.24 ,$0.00 ,$39.24 ,$39.24 
0269 - 1,MMEJACKS,11/1/2021,10/28/2021,2:30:00 PM,EXXONMOB,29057,8.758,$3.30 ,$28.89 ,$0.00 ,$28.89 ,$28.89 
0272 - 1,MMEJACKS,11/1/2021,10/28/2021,9:30:00 AM,BP,145665,18.187,$3.30 ,$60.00 ,$0.00 ,$60.00 ,$60.00 
0302 - 1,MSPCORIN,11/1/2021,10/28/2021,11:22:34 AM,LOVES,158638,20.652,$3.10 ,$64.00 ,$0.00 ,$64.00 ,$64.00 
0219 - 1,UNASSIGNED,11/1/2021,10/28/2021,3:33:00 PM,SHELL,124466,17.86,$3.45 ,$61.60 ,$0.00 ,$61.60 ,$61.60 
0273 - 1,MMEJACKS,11/1/2021,10/27/2021,5:30:00 PM,EXXONMOB,145531,15.788,$3.30 ,$52.08 ,$0.00 ,$52.08 ,$52.08 
0310 - 1,CPOSENAT,11/1/2021,10/27/2021,8:54:52 AM,UNBRANDED,165491,14.669,$3.22 ,$47.22 ,$0.00 ,$47.22 ,$47.22 
